HC;ID;x;y;z;cell1;cell2;cell3
1902;142910;2427;3107;692;1906;;
1902;142911;2523;3163;806;505;1905;
1902;142912;2678;2875;606;1906;;
1902;142913;2577;2950;281;;;
1902;142914;2705;2542;638;643;585;
1902;142915;2691;2091;402;570;;
1902;142916;2635;2762;1457;1906;;
1902;13136;2799;4178;1428;;;
1902;13137;2614;4633;1342;818;;
1902;13138;2540;5396;1234;;;
1902;13139;2628;5693;1347;;;
1902;13140;2603;6169;1298;;;
1902;13141;2624;4398;1421;;;
1902;13142;2555;4582;1470;1904;555;
1902;13143;2431;4893;1466;;;
1902;13144;2430;5123;1569;810;617;
1902;13145;2367;5350;1643;;;
1902;13146;2411;5608;1613;;;
1902;13147;2385;5849;1752;;;
1902;13148;2498;4967;1285;;;
1902;13149;2632;4777;1172;;;
1902;13150;2667;5018;998;1905;549;
1902;13151;2606;5270;838;;;
1902;13153;2615;4348;1131;676;;
1902;13155;2611;3831;1312;774;;
1902;13156;2557;3826;1157;1905;;
1902;13157;2549;3772;712;1905;;
1902;13158;2627;4034;625;;;
1902;13159;2792;4333;488;;;
1902;13160;2596;3423;1187;;;
1902;13161;2876;3215;676;1905;;
1902;13162;3043;3480;573;1905;;
1902;13163;2800;3833;164;;;
1902;13164;2640;3267;1030;1905;564;
1902;13165;2650;3129;1140;;;
1902;13166;2636;2771;921;394;643;
1902;13167;2680;2567;758;;;
1902;13168;2653;2552;885;766;;
1902;13169;2666;2138;832;;;
1902;13173;3046;1504;337;1906;;
1902;13170;2848;1901;637;1906;585;534
1902;13171;2759;2220;875;1906;585;
1902;13172;2661;3168;1374;1906;;
1902;13174;2724;2672;1339;;;
1902;13175;2661;2205;1290;615;;
1902;13176;2650;2003;1238;493;;
1902;13177;2627;1820;1242;;;
1902;13178;2597;1415;1162;760;;
1902;13179;2706;1341;987;;;
1902;13180;2623;1746;1492;1903;537;
1902;13181;2682;1657;1509;744;;
1902;13182;2706;1914;1585;;;
1902;13183;2517;2395;1646;;;
1902;13184;2537;2596;1580;;;
1902;13185;2585;2217;1483;821;;
1902;13186;2509;1086;1801;;;
1902;13187;2544;1042;1819;694;;
1902;13188;2538;1412;1991;;;
1902;13189;2832;1702;1748;;;
1902;13190;2820;2066;1879;1903;;
1902;13191;2739;2690;1860;;;
1902;13192;2515;2835;1850;1906;1904;
1902;13194;2601;2102;2169;1903;;
1902;13195;2546;1618;2240;;;
1902;13196;2665;2520;2093;;;
1902;13198;2455;1908;2419;755;;
1902;13199;2398;1793;2598;;;
1902;13200;2758;2660;2031;;;
1902;13202;2693;3084;1846;;;
1902;13203;2669;3146;2158;1901;451;
1902;13204;2474;3057;2084;;;
1902;13205;2449;3389;1931;660;1902;660
1902;13206;2754;2839;2063;;;
1902;13207;2562;2727;2281;655;;
1902;13208;2439;2691;2482;;;
1902;13209;2416;2458;2644;;;
1902;13210;2332;2285;2783;;;
1902;13211;2326;2114;3045;;;
1902;13212;2348;2232;2936;;;
1902;13214;2179;2573;2839;;;
1902;13215;2187;2689;2778;;;
